entry_time,exit_time,trade_type,entry_price,exit_price,stop_loss,take_profit,position_size,pnl_currency,account_balance,result,setup_type,trigger_level
2025-02-17 08:43:00,2025-02-17 08:51:00,sell,1.04911,1.04924,1.04924,1.04885,1140513.179415707,-148.26671332400025,14678.404619076024,loss,MSS - Bearish,Break of HL at 1.04945
2025-02-17 08:54:00,2025-02-17 08:55:00,sell,1.0492,1.0489399999999995,1.04933,1.0489399999999995,1129108.0476196213,293.5680923815205,14971.972711457543,win,MSS - Bearish,Break of HL at 1.04945
2025-02-17 08:55:00,2025-02-17 09:09:00,sell,1.04891,1.04933,1.04933,1.0480699999999998,356475.54074891534,-149.71972711457545,14822.252984342967,loss,MSS - Bearish,Break of HL at 1.04945
2025-02-17 09:11:00,2025-02-17 09:12:00,sell,1.04942,1.04926,1.04926,1.0491000000000001,926390.8115217945,148.22252984342967,14970.475514186397,loss,MSS - Bearish,Break of HL at 1.04945
2025-02-17 09:12:00,2025-02-17 09:14:00,sell,1.04941,1.0491899999999998,1.04952,1.0491899999999998,1360952.3194708165,299.40951028372797,15269.885024470124,win,MSS - Bearish,Break of HL at 1.04945
2025-02-17 09:14:00,2025-02-17 09:20:00,sell,1.04925,1.04952,1.04952,1.04871,565551.297202613,-152.69885024470125,15117.186174225422,loss,MSS - Bearish,Break of HL at 1.04945
2025-02-17 09:22:00,2025-02-17 09:40:00,sell,1.04916,1.0484400000000003,1.04952,1.0484400000000003,419921.8381730265,302.3437234845085,15419.52989770993,win,MSS - Bearish,Break of HL at 1.04945
2025-02-17 09:40:00,2025-02-17 10:27:00,sell,1.04852,1.0473,1.04913,1.0473,252779.17865098268,308.3905979541986,15727.920495664128,win,MSS - Bearish,Break of HL at 1.04945
2025-02-17 10:27:00,2025-02-17 12:15:00,sell,1.04736,1.04829,1.04829,1.0455000000000003,169117.42468458318,-157.27920495664128,15570.641290707486,loss,MSS - Bearish,Break of HL at 1.04945
2025-02-17 12:15:00,2025-02-17 12:16:00,sell,1.04827,1.04759,1.04759,1.04691,228980.01898098778,155.70641290707488,15726.347703614561,loss,MSS - Bearish,Break of HL at 1.04945
2025-02-17 12:16:00,2025-02-17 12:23:00,sell,1.04828,1.0484,1.0484,1.0480400000000003,1310528.975302328,-157.26347703614562,15569.084226578416,loss,MSS - Bearish,Break of HL at 1.04945
2025-02-17 12:26:00,2025-02-17 12:45:00,sell,1.04834,1.04847,1.04847,1.0480800000000001,1197621.8635832916,-155.69084226578417,15413.393384312632,loss,MSS - Bearish,Break of HL at 1.04945
2025-02-17 12:45:00,2025-02-17 13:34:00,buy,1.0485,1.04809,1.04809,1.04932,375936.4240076055,-154.13393384312633,15259.259450469506,loss,MSS - Bullish,Break of LH at 1.04846
2025-02-17 14:05:00,2025-02-17 14:13:00,sell,1.04776,1.04823,1.04823,1.04682,324665.09469086095,-152.59259450469506,15106.666855964811,loss,MSS - Bearish,Break of HL at 1.04777
2025-02-17 14:21:00,2025-02-17 23:38:00,sell,1.04767,1.04849,1.04849,1.0460300000000005,184227.64458497698,-151.06666855964812,14955.600187405164,loss,MSS - Bearish,Break of HL at 1.04777
2025-02-18 08:00:00,2025-02-18 08:01:00,sell,1.04552,1.04536,1.04536,1.0452000000000001,934725.0117131851,149.55600187405165,15105.156189279216,loss,MSS - Bearish,Break of HL at 1.04790
2025-02-18 08:01:00,2025-02-18 08:02:00,sell,1.04559,1.04536,1.04536,1.0451300000000001,656745.9212731451,151.05156189279217,15256.207751172009,loss,MSS - Bearish,Break of HL at 1.04790
2025-02-18 08:02:00,2025-02-18 08:03:00,sell,1.04559,1.04536,1.04536,1.0451300000000001,663313.3804858767,152.5620775117201,15408.76982868373,loss,MSS - Bearish,Break of HL at 1.04790
2025-02-18 08:03:00,2025-02-18 08:04:00,sell,1.04564,1.04536,1.04536,1.0450800000000002,550313.2081675986,154.0876982868373,15562.857526970567,loss,MSS - Bearish,Break of HL at 1.04790
2025-02-18 08:04:00,2025-02-18 08:05:00,sell,1.04557,1.04536,1.04536,1.04515,741088.4536651116,155.62857526970566,15718.486102240273,loss,MSS - Bearish,Break of HL at 1.04790
2025-02-18 08:05:00,2025-02-18 08:10:00,sell,1.04554,1.04567,1.04567,1.0452799999999995,1209114.3155552186,-157.18486102240274,15561.30124121787,loss,MSS - Bearish,Break of HL at 1.04790
2025-02-18 08:17:00,2025-02-18 08:19:00,sell,1.0456,1.04576,1.04576,1.0452800000000002,972581.327576494,-155.6130124121787,15405.688228805691,loss,MSS - Bearish,Break of HL at 1.04790
2025-02-18 08:20:00,2025-02-18 08:21:00,sell,1.04592,1.04576,1.04576,1.0456,962855.514300729,154.05688228805693,15559.745111093749,loss,MSS - Bearish,Break of HL at 1.04790
2025-02-18 08:22:00,2025-02-18 08:34:00,sell,1.04586,1.0456200000000002,1.04598,1.0456200000000002,1296645.4259255817,311.194902221875,15870.940013315623,win,MSS - Bearish,Break of HL at 1.04790
2025-02-18 08:34:00,2025-02-18 08:49:00,sell,1.04555,1.04598,1.04598,1.0446900000000001,369091.62821670214,-158.70940013315624,15712.230613182466,loss,MSS - Bearish,Break of HL at 1.04790
2025-02-18 08:54:00,2025-02-18 08:55:00,sell,1.04614,1.04598,1.04598,1.0458199999999997,982014.4133229221,157.12230613182467,15869.352919314291,loss,MSS - Bearish,Break of HL at 1.04790
2025-02-18 08:55:00,2025-02-18 08:56:00,sell,1.04621,1.04598,1.04598,1.0457499999999997,689971.8660566197,158.69352919314292,16028.046448507434,loss,MSS - Bearish,Break of HL at 1.04790
2025-02-18 08:56:00,2025-02-18 08:57:00,sell,1.04612,1.04598,1.04598,1.0458399999999999,1144860.4606074367,160.28046448507433,16188.326912992508,loss,MSS - Bearish,Break of HL at 1.04790
2025-02-18 08:57:00,2025-02-18 09:03:00,sell,1.0462,1.04632,1.04632,1.0459600000000002,1349027.2427505227,-161.88326912992508,16026.443643862583,loss,MSS - Bearish,Break of HL at 1.04790
2025-02-18 09:05:00,2025-02-18 09:31:00,buy,1.04641,1.04603,1.04603,1.0471700000000002,421748.5169437001,-160.26443643862584,15866.179207423958,loss,MSS - Bullish,Break of LH at 1.04632
2025-02-18 09:38:00,2025-02-18 10:10:00,buy,1.04636,1.04586,1.04586,1.0473599999999998,317323.58414851414,-158.6617920742396,15707.51741534972,loss,MSS - Bullish,Break of LH at 1.04632
2025-02-18 10:22:00,2025-02-18 14:18:00,buy,1.04637,1.04546,1.04546,1.04819,172610.0814873659,-157.0751741534972,15550.442241196222,loss,MSS - Bullish,Break of LH at 1.04632
2025-02-18 14:18:00,2025-02-18 18:01:00,sell,1.04547,1.04669,1.04669,1.04303,127462.64132128064,-155.50442241196222,15394.93781878426,loss,MSS - Bearish,Break of HL at 1.04615
2025-02-18 18:01:00,2025-02-18 19:04:00,buy,1.04687,1.04515,1.04515,1.0503099999999999,89505.45243479514,-153.9493781878426,15240.988440596417,loss,MSS - Bullish,Break of LH at 1.04573
2025-02-18 19:18:00,2025-02-18 19:55:00,sell,1.04472,1.0439600000000004,1.0451,1.0439600000000004,401078.6431737747,304.8197688119283,15545.808209408346,win,MSS - Bearish,Break of HL at 1.04484
2025-02-18 19:55:00,2025-02-18 19:57:00,sell,1.04403,1.04459,1.04459,1.0429100000000002,277603.71802520164,-155.45808209408347,15390.350127314263,loss,MSS - Bearish,Break of HL at 1.04484
2025-02-18 19:57:00,2025-02-18 19:58:00,sell,1.04441,1.04459,1.04459,1.0440500000000004,855019.4515181861,-153.90350127314264,15236.44662604112,loss,MSS - Bearish,Break of HL at 1.04484
2025-02-18 20:03:00,2025-02-18 20:06:00,sell,1.04461,1.0442900000000002,1.04477,1.0442900000000002,952277.9141279393,304.7289325208224,15541.175558561943,win,MSS - Bearish,Break of HL at 1.04484
2025-02-18 20:06:00,2025-02-18 21:31:00,sell,1.04418,1.04477,1.04477,1.0430000000000004,263409.7552299222,-155.41175558561943,15385.763802976324,loss,MSS - Bearish,Break of HL at 1.04484
2025-02-18 21:31:00,2025-02-18 21:32:00,sell,1.04481,1.04454,1.04454,1.04427,569843.1038139538,153.85763802976325,15539.621441006087,loss,MSS - Bearish,Break of HL at 1.04484
2025-02-18 21:32:00,2025-02-18 21:33:00,sell,1.04478,1.04454,1.04454,1.0443,647484.2267085385,155.39621441006088,15695.017655416148,loss,MSS - Bearish,Break of HL at 1.04484
